borough,IMD
Barking and Dagenham,25551.9
Barnet,13803.4
Bexley,13529.7
Brent,21083
Bromley,11297.5
Camden,16763.3
Croydon,18371.2
Ealing,18991.7
Enfield,20418.7
Greenwich,20383.8
Hackney,25312.6
Hammersmith and Fulham,18643.5
Haringey,21887.6
Harrow,13071.3
Havering,14036
Hillingdon,15515
Hounslow,18652.5
Islington,22490.2
Kensington and Chelsea,17177.5
Kingston upon Thames,9412.3
Lambeth,21351.4
Lewisham,21959.3
Merton,12224.6
Newham,24138.7
Redbridge,15082.6
Richmond upon Thames,7159.2
Southwark,21247.4
Sutton,11415.3
Tower Hamlets,22507.1
Waltham Forest,21186.6
Wandsworth,14312.2
Westminster,16573.8
