borough,white
Barking and Dagenham,"99,000"
Barnet,"255,000"
Bexley,"188,000"
Brent,"117,000"
Bromley,"264,000"
Camden,"155,000"
Croydon,"224,000"
Ealing,"163,000"
Enfield,"218,000"
Greenwich,"158,000"
Hackney,"167,000"
Hammersmith and Fulham,"122,000"
Haringey,"208,000"
Harrow,"101,000"
Havering,"196,000"
Hillingdon,"154,000"
Hounslow,"125,000"
Islington,"177,000"
Kensington and Chelsea,"109,000"
Kingston upon Thames,"135,000"
Lambeth,"215,000"
Lewisham,"194,000"
Merton,"140,000"
Newham,"165,000"
Redbridge,"132,000"
Richmond upon Thames,"163,000"
Southwark,"183,000"
Sutton,"136,000"
Tower Hamlets,"161,000"
Waltham Forest,"188,000"
Wandsworth,"249,000"
Westminster,"159,000"
