GSSCode,month,dwellings,borough
E09000002,7,1735,Barking and Dagenham
E09000003,7,2277,Barnet
E09000004,7,1280,Bexley
E09000005,7,2660,Brent
E09000006,7,1929,Bromley
E09000007,7,2595,Camden
E09000008,7,2850,Croydon
E09000009,7,2550,Ealing
E09000010,7,2400,Enfield
E09000011,7,2320,Greenwich
E09000012,7,,Hackney
E09000013,7,,Hammersmith and Fulham
E09000014,7,,Haringey
E09000015,7,,Harrow
E09000016,7,,Havering
E09000017,7,,Hillingdon
E09000018,7,,Hounslow
E09000019,7,,Islington
E09000020,7,,Kensington and Chelsea
E09000021,7,,Kingston upon Thames
E09000022,7,,Lambeth
E09000023,7,,Lewisham
E09000024,7,,Merton
E09000025,7,,Newham
E09000026,7,,Redbridge
E09000027,7,,Richmond upon Thames
E09000028,7,,Southwark
E09000029,7,,Sutton
E09000030,7,,Tower Hamlets
E09000031,7,,Waltham Forest
E09000032,7,,Wandsworth
E09000033,7,,Westminster
