borough,carOwnership
Barking and Dagenham,10301
Barnet,13706
Bexley,7988
Brent,14930
Bromley,11945
Camden,15800
Croydon,17388
Ealing,15144
Enfield,15066
Greenwich,13887
Hackney,17041
Hammersmith and Fulham,11010
Haringey,15380
Harrow,8206
Havering,9115
Hillingdon,12057
Hounslow,12180
Islington,13821
Kensington and Chelsea,10388
Kingston upon Thames,6512
Lambeth,17423
Lewisham,13951
Merton,6738
Newham,18327
Redbridge,12503
Richmond upon Thames,5661
Southwark,16973
Sutton,6920
Tower Hamlets,17607
Waltham Forest,11460
Wandsworth,13396
Westminster,32618
